Rank,First,Last,Team,G,Rec,Tgt,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Rush,Yds,Y/G,Avg,TD,Fum,FumL,Ret
85,Chris,Hogan,BUF,16,41,61,426,26.6,10.4,31,4.8,20,4,0,0,0,0,0,2,2,0
86,Marqise,Lee,JAC,13,37,68,422,32.5,11.4,37,4.8,20,1,0,0,0,0,0,0,0,0
87,Cole,Beasley,DAL,16,37,49,420,26.3,11.4,45,6.8,26,4,0,0,0,0,0,2,2,0
88,Preston,Parker,NYG,16,36,56,418,26.1,11.6,42,3.4,25,2,0,0,0,0,0,0,0,0
89,Jeremy,Kerley,NYJ,16,38,75,409,25.6,10.8,33,4.1,20,1,0,86,0,0,0,0,0,0
90,Hakeem,Nicks,IND,16,38,68,405,25.3,10.7,29,3.6,18,4,0,0,0,0,0,0,0,0
91,Cordarrelle,Patterson,MIN,16,33,67,384,24,11.6,28,5,20,1,0,117,0,1,0,0,0,0
92,Louis,Murphy,TAM,11,31,56,380,34.5,12.3,54,4.2,14,2,0,0,0,0,0,1,0,0
93,Brian,Quick,STL,7,25,39,375,53.6,15,51,3,19,3,0,0,0,0,0,0,0,0
94,Jason,Avant,KAN,5,34,62,353,22.1,10.4,41,4.6,19,1,0,0,0,0,0,0,0,0
95,Victor,Cruz,NYG,6,23,41,337,56.2,14.7,61,8.2,13,1,0,0,0,0,0,0,0,0
96,Damaris,Johnson,HOU,16,31,49,331,20.7,10.7,44,5.9,15,1,0,0,0,0,0,1,0,0
97,Jeremy,Ross,DET,16,24,35,314,19.6,13.1,59,5.7,15,1,0,0,0,0,0,1,0,0
98,Travis,Benjamin,CLE,16,18,46,314,19.6,17.4,43,2.9,14,3,0,0,0,0,0,0,0,0
99,Josh,Gordon,CLE,5,24,47,303,60.6,12.6,32,7.1,16,0,0,0,0,0,0,0,0,0
100,Corey,Brown,CAR,13,21,36,296,22.8,14.1,47,2.7,12,2,0,95,0,0,0,0,0,0
101,Brandon,Gibson,MIA,14,29,51,295,21.1,10.2,40,3.7,15,1,0,0,0,0,0,2,0,0
102,Brandon,Lloyd,SFO,14,14,35,294,21,21,80,5.6,11,1,0,0,0,0,0,0,0,0
103,Brice,Butler,OAK,15,21,35,280,18.7,13.3,55,4.2,14,2,0,0,0,0,0,0,0,0
104,Paul,Richardson,SEA,15,29,44,271,18.1,9.3,32,2.5,15,1,0,0,0,0,0,0,0,0
105,Kamar,Aiken,BAL,16,24,32,267,16.7,11.1,24,2.6,15,3,0,0,0,0,0,0,0,0
106,Kenbrell,Thompkins,OAK,12,21,48,262,18.7,12.5,50,5,13,0,0,0,0,0,0,0,0,0
107,Albert,Wilson,KAN,12,16,28,260,21.7,16.3,48,7.8,12,0,0,0,0,0,0,0,0,0
108,Marlon,Brown,BAL,14,24,31,255,18.2,10.6,22,4.3,16,0,0,0,0,0,0,0,0,0
109,Derek,Hagan,TEN,16,19,34,254,15.9,13.4,38,2.2,10,1,0,0,0,0,0,0,0,0
110,Tavon,Austin,STL,15,31,44,242,16.1,7.8,28,5.5,12,0,0,224,0,2,0,0,0,1
111,Jaron,Brown,ARI,16,22,32,229,14.3,10.4,26,2.9,14,2,0,0,0,0,0,1,0,0
112,Nick,Toon,NOR,8,17,23,215,26.9,12.6,24,2.9,13,1,0,0,0,0,0,1,1,0
113,Corey,Fuller,DET,16,14,31,212,13.3,15.1,52,2.6,11,1,0,0,0,0,0,1,1,0
114,Danny,Amendola,NWE,16,27,42,200,12.5,7.4,21,3.1,12,1,0,0,0,0,0,0,0,0
115,Lance,Moore,PIT,14,14,26,198,14.1,14.1,29,3.6,11,2,0,0,0,0,0,0,0,0
116,Ricardo,Lockette,SEA,16,11,15,195,12.2,17.7,48,6.5,5,2,0,0,0,0,0,0,0,0
117,Brandon,Tate,CIN,16,17,26,193,12.1,11.4,50,4.4,12,1,0,0,0,0,0,0,0,0
118,Ted,Ginn,ARI,16,14,26,190,11.9,13.6,27,3.6,9,0,0,0,0,0,0,0,0,1
119,Donnie,Avery,KAN,6,15,26,176,29.3,11.7,27,2.7,8,0,0,0,0,0,0,1,1,0
120,Greg,Salas,NYJ,10,8,23,167,16.7,20.9,51,14.3,6,0,0,0,0,0,0,0,0,0
121,Chris,Givens,STL,14,11,20,159,11.4,14.5,47,4.4,5,1,0,0,0,0,0,0,0,0
122,Dontrelle,Inman,SDG,7,12,17,158,22.6,13.2,28,1.4,7,0,0,0,0,0,0,0,0,0
123,De'Anthony,Thomas,KAN,12,23,31,156,13,6.8,30,7.9,7,0,0,113,0,1,0,0,0,1
124,Brenton,Bersin,CAR,15,13,20,151,10.1,11.6,29,3,11,1,0,0,0,0,0,0,0,0
125,Mike,Williams,BUF,9,8,19,142,15.8,17.8,80,4.9,3,1,0,0,0,0,0,0,0,0
126,Marquess,Wilson,CHI,7,17,32,140,20,8.2,17,3.4,7,1,0,0,0,0,0,0,0,0
127,Adam,Thielen,MIN,16,8,13,137,8.6,17.1,44,4.1,7,1,0,0,0,0,0,0,0,0
128,Rishard,Matthews,MIA,14,12,22,135,9.6,11.3,23,3.8,9,2,0,0,0,0,0,1,0,0
129,Jacoby,Jones,BAL,16,9,18,131,8.2,14.6,31,9.3,6,0,0,0,0,0,0,0,0,0
130,Vincent,Brown,OAK,7,12,21,118,16.9,9.8,20,3.9,6,0,0,0,0,0,0,0,0,0
131,Austin,Pettis,STL,5,12,18,118,23.6,9.8,27,4.7,7,1,0,0,0,0,0,0,0,0
132,Dwayne,Harris,DAL,16,7,12,116,7.3,16.6,56,5.1,2,0,0,0,0,0,0,0,0,0
133,Santana,Moss,WAS,10,10,15,116,11.6,11.6,19,7.5,6,0,0,0,0,0,0,0,0,0
134,Denarius,Moore,OAK,10,12,27,115,11.5,9.6,28,3.6,6,0,0,0,0,0,0,0,0,0
135,Robert,Meachem,NOR,11,7,20,114,10.4,16.3,25,2.7,7,0,0,0,0,0,0,0,0,0
136,Junior,Hemingway,KAN,14,12,21,108,7.7,9,17,5.9,8,0,0,0,0,0,0,0,0,0
137,Dane,Sanzenbacher,CIN,10,9,15,105,10.5,11.7,26,5,5,0,0,0,0,0,0,1,1,0
138,Kevin,Norwood,SEA,9,9,10,102,11.3,11.3,31,4.8,5,0,0,0,0,0,0,0,0,0
139,Michael,Campanaro,BAL,4,7,9,102,25.5,14.6,19,4.9,5,1,0,0,0,0,0,0,0,0
140,Eric,Weems,ATL,16,10,11,102,6.4,10.2,40,3.1,5,2,0,0,0,0,0,0,0,0
141,Josh,Huff,PHI,12,8,18,98,8.2,12.3,44,10,4,0,0,0,0,0,0,1,1,1
142,Justin,Brown,PIT,8,12,21,94,11.8,7.8,18,2.4,4,0,0,0,0,0,0,1,1,0
143,A.J.,Jenkins,KAN,9,9,15,93,10.3,10.3,27,5.3,5,0,0,0,0,0,0,1,0,0
144,Joseph,Morgan,NOR,5,4,10,92,18.4,23,62,5.8,3,0,0,67,0,0,0,0,0,0
145,James,Wright,CIN,11,5,16,91,8.3,18.2,30,7.4,5,0,0,71,0,0,0,0,0,0
146,Mike,Brown,JAC,5,7,15,88,17.6,12.6,17,3.1,5,0,0,0,0,0,0,1,1,0
147,T.J.,Graham,NYJ,12,3,8,87,7.3,29,67,7.3,2,1,0,0,0,0,0,0,0,0
148,Rod,Streater,OAK,3,9,13,84,28,9.3,17,3.2,5,1,0,0,0,0,0,0,0,0
149,Brian,Tyms,NWE,11,5,11,82,7.5,16.4,43,0.8,3,1,0,0,0,0,0,0,0,0
150,Chris,Owusu,NYJ,5,6,6,78,9.8,13,36,0.5,4,1,0,0,0,0,0,0,0,0
151,Keshawn,Martin,HOU,16,6,12,78,4.9,13,32,9.5,3,0,0,0,0,0,0,0,0,0
152,Josh,Morgan,CHI,14,10,19,70,5,7,13,5,4,1,0,30,0,0,0,0,0,0
153,Greg,Little,CIN,6,6,12,69,11.5,11.5,21,5,3,0,0,0,0,0,0,0,0,0
154,Ryan,Grant,WAS,16,7,15,68,4.3,9.7,21,3.4,4,0,0,0,0,0,0,0,0,0
155,Santonio,Holmes,CHI,9,8,14,67,7.4,8.4,15,3.8,6,0,0,0,0,0,0,0,0,0
156,David,Nelson,NYJ,6,8,16,65,10.8,8.1,17,0.4,4,0,0,0,0,0,0,2,0,0
157,Russell,Shepard,TAM,16,4,8,63,3.9,15.8,23,6.8,3,0,0,0,0,0,0,0,0,0
158,Bruce,Ellington,SFO,13,6,12,62,4.8,10.3,20,6.5,5,2,0,0,0,0,0,0,0,0
159,Robert,Herron,TAM,8,6,12,58,7.3,9.7,16,4.7,3,1,0,0,0,0,0,0,0,0
160,Bryan,Walters,SEA,13,6,11,57,4.4,9.5,17,6.5,3,0,0,0,0,0,0,0,0,0
161,Ace,Sanders,JAC,12,6,7,55,4.6,9.2,24,4.2,1,0,0,0,0,0,0,0,0,0
162,Kris,Durham,TEN,4,6,11,54,13.5,9,14,2.2,2,0,0,0,0,0,0,0,0,0
163,Corey,Washington,NYG,14,5,8,52,3.7,10.4,20,2.8,4,1,0,0,0,0,0,0,0,0
164,Kevin,Ogletree,NYG,7,5,9,50,7.1,10,15,2.8,2,0,0,0,0,0,0,0,0,0
165,Andre,Caldwell,DEN,16,5,15,47,2.9,9.4,15,3.6,4,0,0,0,0,0,0,0,0,0
166,Jeff,Maehl,PHI,8,5,5,46,5.8,9.2,15,2.2,1,0,0,0,0,0,0,0,0,0
167,Seyi,Ajirotutu,SDG,16,4,12,45,2.8,11.3,17,2.5,4,0,0,0,0,0,0,0,0,0
168,Frankie,Hammond,KAN,16,4,11,45,2.8,11.3,22,4.3,2,0,0,0,0,0,0,0,0,0
169,Quinton,Patton,SFO,4,3,8,44,11,14.7,35,-1.3,1,0,0,0,0,0,0,1,1,0
170,Marquise,Goodwin,BUF,10,1,9,42,4.2,42,42,6,1,0,0,0,0,0,0,1,0,0
171,Jerrel,Jernigan,NYG,2,6,9,40,20,6.7,11,1.5,2,0,0,0,0,0,0,0,0,0
172,Aaron,Dobson,NWE,4,3,5,38,9.5,12.7,16,7.3,2,0,0,0,0,0,0,0,0,0
173,Darrius,Heyward-Bey,PIT,16,3,5,33,2.1,11,17,0.3,1,0,0,0,0,0,0,1,1,0
174,DeVier,Posey,HOU,1,1,1,30,30,30,30,4,1,0,0,0,0,0,0,0,0,0
175,Ryan,Broyles,DET,5,2,5,25,5,12.5,21,4.5,2,0,0,0,0,0,0,0,0,0
176,Dri,Archer,PIT,12,7,10,23,1.9,3.3,15,3.9,0,0,0,40,0,0,0,0,0,0
177,Cody,Latimer,DEN,8,2,4,23,2.9,11.5,14,7.5,1,0,0,0,0,0,0,0,0,0
178,Griff,Whalen,IND,10,2,3,23,2.3,11.5,18,0.5,2,0,0,0,0,0,0,0,0,0
179,Jarrett,Boykin,GNB,13,3,12,23,1.8,7.7,11,9.3,1,0,0,0,0,0,0,0,0,0
180,Devin,Street,DAL,16,2,7,18,1.1,9,9,3,1,0,0,0,0,0,0,0,0,0
181,Jeff,Janis,GNB,3,2,2,16,5.3,8,9,2,2,0,0,0,0,0,0,0,0,0
182,Damian,Williams,MIA,1,1,1,14,14,14,14,2,1,0,0,0,0,0,0,0,0,0
183,Tavarres,King,TAM,2,2,3,13,6.5,6.5,7,1.5,1,0,0,0,0,0,0,0,0,0
184,Brad,Smith,PHI,13,1,3,11,0.8,11,11,14,1,0,0,0,0,0,0,0,0,0
185,Courtney,Roby,ATL,4,1,2,11,2.8,11,11,0,1,0,0,0,0,0,0,0,0,0
186,Josh,Cribbs,IND,6,1,1,8,1.3,8,8,1,0,0,0,0,0,0,0,0,0,0
187,Micheal,Spurlock,CHI,1,1,3,8,8,8,8,7,0,0,0,0,0,0,0,0,0,0
188,Jalen,Saunders,NOR,6,1,1,7,1.2,7,7,3,0,0,0,0,0,0,0,0,0,0
189,Aldrick,Robinson,WAS,5,1,3,6,1.2,6,6,8,0,0,0,0,0,0,0,0,0,0
190,Kevin,Dorsey,GNB,3,1,2,4,1.3,4,4,11,0,0,0,0,0,0,0,0,0,0
191,Freddie,Martino,ATL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Solomon,Patton,TAM,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Isaiah,Burse,DEN,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Kassim,Osgood,SFO,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Joshua,Bellamy,CHI,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Chris,Williams,CHI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Tommy,Streeter,JAC,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,De'Andre,Presley,CAR,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Marcus,Thigpen,BUF,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,Leonard,Hankerson,WAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
