Tm,Wk,PA
PIT,1,27
PIT,2,26
PIT,3,19
PIT,4,9
PIT,5,31
PIT,6,23
PIT,7,34
PIT,8,23
PIT,9,20
PIT,10,24
PIT,11,24
PIT,13,35
PIT,14,21
PIT,15,20
PIT,16,12
PIT,17,17
GNB,1,36
GNB,2,24
GNB,3,19
GNB,4,17
GNB,5,24
GNB,6,17
GNB,7,23
GNB,8,44
GNB,10,14
GNB,11,20
GNB,12,21
GNB,13,21
GNB,14,37
GNB,15,21
GNB,16,3
GNB,17,20
BAL,1,23
BAL,2,6
BAL,3,21
BAL,4,10
BAL,5,20
BAL,6,17
BAL,7,7
BAL,8,27
BAL,9,43
BAL,10,7
BAL,12,27
BAL,13,34
BAL,14,13
BAL,15,12
BAL,16,25
BAL,17,10
PHI,1,17
PHI,2,27
PHI,3,34
PHI,4,26
PHI,5,28
PHI,6,0
PHI,8,24
PHI,9,21
PHI,10,21
PHI,11,53
PHI,12,24
PHI,13,10
PHI,14,14
PHI,15,27
PHI,16,24
PHI,17,26
NYJ,1,14
NYJ,2,31
NYJ,3,27
NYJ,4,24
NYJ,5,31
NYJ,6,31
NYJ,7,27
NYJ,8,43
NYJ,9,24
NYJ,11,13
NYJ,12,38
NYJ,13,16
NYJ,14,30
NYJ,15,11
NYJ,16,17
NYJ,17,24
NOR,1,37
NOR,2,26
NOR,3,9
NOR,4,38
NOR,5,31
NOR,7,24
NOR,8,23
NOR,9,10
NOR,10,27
NOR,11,27
NOR,12,34
NOR,13,32
NOR,14,41
NOR,15,15
NOR,16,30
NOR,17,20
CHI,1,23
CHI,2,20
CHI,3,19
CHI,4,38
CHI,5,31
CHI,6,13
CHI,7,27
CHI,8,51
CHI,10,55
CHI,11,13
CHI,12,13
CHI,13,34
CHI,14,41
CHI,15,31
CHI,16,20
CHI,17,13
NWE,1,33
NWE,2,7
NWE,3,9
NWE,4,41
NWE,5,17
NWE,6,22
NWE,7,25
NWE,8,23
NWE,9,21
NWE,11,20
NWE,12,9
NWE,13,26
NWE,14,14
NWE,15,13
NWE,16,16
NWE,17,17
NYG,1,35
NYG,2,25
NYG,3,17
NYG,4,14
NYG,5,20
NYG,6,27
NYG,7,31
NYG,9,40
NYG,10,38
NYG,11,16
NYG,12,31
NYG,13,25
NYG,14,36
NYG,15,24
NYG,16,27
NYG,17,34
TAM,1,20
TAM,2,19
TAM,3,56
TAM,4,24
TAM,5,37
TAM,6,48
TAM,8,19
TAM,9,22
TAM,10,27
TAM,11,7
TAM,12,21
TAM,13,14
TAM,14,34
TAM,15,19
TAM,16,20
TAM,17,23
SDG,1,18
SDG,2,21
SDG,3,10
SDG,4,14
SDG,5,0
SDG,6,28
SDG,7,23
SDG,8,35
SDG,9,37
