Wk,Tm
9,ARI
10,ATL
9,BAL
8,BUF
5,CAR
7,CHI
7,CIN
11,CLE
6,DAL
7,DEN
9,DET
7,GNB
9,HOU
10,IND
8,JAC
9,KAN
5,MIN
5,MIA
11,NYG
4,NWE
5,NYJ
11,NOR
6,OAK
11,PIT
8,PHI
9,SEA
10,SDG
10,SFO
6,STL
6,TAM
4,TEN
8,WAS
