Wk,Tm
4,PIT
4,IND
5,DET
5,TAM
5,OAK
5,DAL
6,JAC
6,CHI
6,CAR
6,NOR
7,ATL
7,MIA
7,DEN
7,SDG
7,KAN
7,PHI
8,CIN
8,BUF
8,BAL
8,HOU
9,SFO
9,NWE
9,NYJ
9,STL
10,CLE
10,ARI
10,GNB
10,WAS
11,SEA
11,NYG
11,MIN
11,TEN
