Tm,Wk,PA
CAR,17,45
JAC,1,14
JAC,2,32
JAC,3,16
JAC,4,23
JAC,5,30
JAC,6,17
JAC,7,7
JAC,8,24
JAC,10,3
JAC,11,14
JAC,12,20
JAC,13,38
JAC,14,14
JAC,15,41
JAC,16,23
JAC,17,13
BUF,1,7
BUF,2,35
BUF,3,31
BUF,4,23
BUF,5,24
BUF,6,27
BUF,8,0
BUF,9,27
BUF,10,44
BUF,11,25
BUF,12,28
BUF,13,23
BUF,14,37
BUF,15,30
BUF,16,14
BUF,17,49
HOU,1,7
HOU,2,13
HOU,3,40
HOU,4,10
HOU,5,25
HOU,6,29
HOU,7,7
HOU,8,14
HOU,9,12
HOU,10,9
HOU,12,13
HOU,13,10
HOU,14,19
HOU,15,28
HOU,16,19
HOU,17,23
ARI,1,21
ARI,2,22
ARI,3,13
ARI,4,31
ARI,5,34
ARI,7,32
ARI,8,30
ARI,9,13
ARI,10,17
ARI,11,23
ARI,12,20
ARI,13,13
ARI,14,19
ARI,15,17
ARI,16,23
ARI,17,20
STL,1,31
STL,2,28
STL,3,37
STL,4,17
STL,6,24
STL,7,34
STL,8,21
STL,9,19
STL,10,12
STL,11,24
STL,12,23
STL,13,26
STL,14,30
STL,15,20
STL,16,27
STL,17,34
DEN,1,23
DEN,2,22
DEN,3,17
DEN,4,49
DEN,5,29
DEN,7,15
DEN,8,45
DEN,9,24
DEN,10,10
DEN,11,13
DEN,12,13
DEN,13,32
DEN,14,10
DEN,15,41
DEN,16,40
DEN,17,7
