Tm,Wk,PA
PIT,1,9
PIT,2,11
PIT,3,13
PIT,4,17
PIT,6,10
PIT,7,22
PIT,8,20
PIT,9,21
PIT,10,39
PIT,11,3
PIT,12,16
PIT,13,10
PIT,14,7
PIT,15,22
PIT,16,3
PIT,17,9
GNB,1,20
GNB,2,7
GNB,3,20
GNB,4,26
GNB,5,16
GNB,6,23
GNB,7,24
GNB,8,0
GNB,9,7
GNB,11,3
GNB,12,20
GNB,13,16
GNB,14,7
GNB,15,31
GNB,16,17
GNB,17,3
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
BAL,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
PHI,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NYJ,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
NOR,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
CHI,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NWE,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
NYG,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
TAM,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
SDG,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
DAL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
ATL,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
KAN,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
MIA,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
TEN,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
SFO,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
MIN,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
DET,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
CLE,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
OAK,,
WAS,,
WAS,,
WAS,,
WAS,,
WAS,,
WAS,,
WAS,,
WAS,,
WAS,,
