Wk,Tm
4,GNB
4,CAR
5,MIN
5,PIT
5,TAM
5,WAS
6,ATL
6,MIA
7,NOR
7,OAK
8,BAL
8,CHI
8,HOU
8,IND
8,SDG
8,TEN
9,ARI
9,DEN
9,DET
9,JAC
9,NYG
9,SFO
10,CLE
10,KAN
10,NWE
10,NYJ
11,DAL
11,STL
12,PHI
12,CIN
12,BUF
12,SEA
