Tm,Wk,PA
PIT,1,31
PIT,2,10
PIT,3,34
PIT,5,14
PIT,6,26
PIT,7,17
PIT,8,12
PIT,9,20
PIT,10,13
PIT,11,13
PIT,12,20
PIT,13,20
PIT,14,34
PIT,15,27
PIT,16,13
PIT,17,10
GNB,1,30
GNB,2,10
GNB,3,14
GNB,4,27
GNB,5,30
GNB,6,24
GNB,7,20
GNB,8,15
GNB,9,17
GNB,11,20
GNB,12,38
GNB,13,14
GNB,14,20
GNB,15,13
GNB,16,7
GNB,17,37
BAL,1,13
BAL,2,24
BAL,3,30
BAL,4,16
BAL,5,6
BAL,6,29
BAL,7,43
BAL,9,15
BAL,10,20
BAL,11,10
BAL,12,13
BAL,13,23
BAL,14,31
BAL,15,34
BAL,16,14
BAL,17,23
PHI,1,16
PHI,2,23
PHI,3,27
PHI,4,17
PHI,5,16
PHI,6,26
PHI,8,30
PHI,9,28
PHI,10,38
PHI,11,31
PHI,12,30
PHI,13,38
PHI,14,21
PHI,15,34
PHI,16,27
PHI,17,42
NYJ,1,28
NYJ,2,27
NYJ,3,20
NYJ,4,34
NYJ,5,23
NYJ,6,9
NYJ,7,29
NYJ,8,30
NYJ,10,28
NYJ,11,13
NYJ,12,49
NYJ,13,6
NYJ,14,10
NYJ,15,14
NYJ,16,27
NYJ,17,28
NOR,1,40
NOR,2,35
NOR,3,27
NOR,4,28
NOR,5,24
NOR,7,28
NOR,8,34
NOR,9,13
NOR,10,27
NOR,11,17
NOR,12,31
NOR,13,23
NOR,14,52
NOR,15,0
NOR,16,31
NOR,17,44
CHI,1,21
CHI,2,23
CHI,3,6
CHI,4,18
CHI,5,3
CHI,7,7
CHI,8,22
CHI,9,20
CHI,10,13
CHI,11,32
CHI,12,10
CHI,13,23
CHI,14,21
CHI,15,21
CHI,16,13
CHI,17,24
NWE,1,13
NWE,2,20
NWE,3,31
NWE,4,28
NWE,5,21
NWE,6,24
NWE,7,26
NWE,8,7
NWE,10,31
NWE,11,24
NWE,12,19
NWE,13,16
NWE,14,14
NWE,15,41
NWE,16,16
NWE,17,0
NYG,1,24
NYG,2,34
NYG,3,7
NYG,4,19
NYG,5,27
NYG,6,3
NYG,7,23
NYG,8,24
NYG,9,24
NYG,10,31
NYG,12,10
NYG,13,17
NYG,14,27
NYG,15,34
NYG,16,33
NYG,17,7
TAM,1,10
TAM,2,41
TAM,3,16
TAM,4,24
TAM,6,10
TAM,7,35
TAM,8,17
TAM,9,32
TAM,10,24
TAM,11,21
TAM,12,24
TAM,13,31
TAM,14,23
TAM,15,41
TAM,16,28
TAM,17,17
SDG,1,14
SDG,2,10
SDG,3,27
SDG,4,20
SDG,5,31
SDG,6,35
SDG,8,7
SDG,9,13
SDG,10,34
SDG,11,30
SDG,12,16
SDG,13,20
SDG,14,24
SDG,15,31
SDG,16,17
SDG,17,21
DAL,1,17
DAL,2,27
DAL,3,10
DAL,4,34
DAL,6,31
DAL,7,14
DAL,8,29
DAL,9,19
DAL,10,23
DAL,11,20
DAL,12,38
DAL,13,33
DAL,14,19
DAL,15,24
DAL,16,34
DAL,17,28
ATL,1,24
ATL,2,21
ATL,3,3
ATL,4,28
ATL,5,17
ATL,6,20
ATL,7,17
ATL,9,13
ATL,10,31
ATL,11,19
ATL,12,23
ATL,13,13
ATL,14,30
ATL,15,0
ATL,16,18
ATL,17,22
KAN,1,40
KAN,2,35
KAN,3,24
KAN,4,37
KAN,5,9
KAN,6,38
KAN,8,26
KAN,9,31
KAN,10,16
KAN,11,28
KAN,12,17
KAN,13,21
KAN,14,30
KAN,15,15
KAN,16,20
KAN,17,38
MIA,1,30
MIA,2,13
MIA,3,23
MIA,4,24
MIA,5,13
MIA,6,14
MIA,8,9
MIA,9,23
MIA,10,37
MIA,11,19
MIA,12,21
MIA,13,23
MIA,14,27
MIA,15,23
MIA,16,10
MIA,17,28
TEN,1,34
TEN,2,38
TEN,3,41
TEN,4,38
TEN,5,30
TEN,6,23
TEN,7,34
TEN,8,19
TEN,9,51
TEN,10,3
TEN,12,24
TEN,13,24
TEN,14,27
TEN,15,10
TEN,16,55
TEN,17,20
SFO,1,22
SFO,2,19
SFO,3,24
SFO,4,0
SFO,5,3
SFO,6,26
SFO,7,6
SFO,8,3
SFO,10,24
SFO,11,7
SFO,12,21
SFO,13,16
SFO,14,13
SFO,15,34
SFO,16,42
SFO,17,13
MIN,1,23
MIN,2,23
MIN,3,13
MIN,4,13
MIN,5,7
MIN,6,38
MIN,7,14
MIN,8,36
MIN,9,30
MIN,10,24
MIN,12,28
MIN,13,23
MIN,14,14
MIN,15,22
MIN,16,6
MIN,17,34
DET,1,23
DET,2,27
DET,3,44
DET,4,20
DET,6,23
DET,7,13
DET,8,24
DET,9,14
DET,10,34
DET,11,24
DET,12,34
DET,13,35
DET,14,27
DET,15,38
DET,16,31
DET,17,26
CLE,1,17
CLE,2,34
CLE,3,24
CLE,4,23
CLE,5,41
CLE,6,24
CLE,7,17
CLE,8,6
CLE,9,25
CLE,11,23
CLE,12,14
CLE,13,17
CLE,14,7
CLE,15,38
CLE,16,34
CLE,17,24
OAK,1,22
OAK,2,35
OAK,3,31
OAK,4,37
OAK,6,23
OAK,7,23
OAK,8,16
OAK,9,42
OAK,10,55
OAK,11,38
OAK,12,34
OAK,13,20
OAK,14,26
OAK,15,0
OAK,16,17
OAK,17,24
WAS,1,32
WAS,2,31
WAS,3,38
WAS,4,22
WAS,5,24
WAS,6,26
WAS,7,27
WAS,8,27
WAS,9,21
WAS,11,26
WAS,12,31
WAS,13,16
WAS,14,28
WAS,15,21
WAS,16,20
WAS,17,18
IND,1,41
IND,2,20
IND,3,22
IND,5,27
IND,6,35
IND,7,13
IND,8,13
IND,9,20
IND,10,10
IND,11,59
IND,12,13
IND,13,33
IND,14,23
IND,15,29
IND,16,13
IND,17,16
CIN,1,44
CIN,2,27
CIN,3,31
CIN,4,10
CIN,5,17
CIN,6,34
CIN,7,24
CIN,9,31
CIN,10,13
CIN,11,6
CIN,12,10
CIN,13,13
CIN,14,20
CIN,15,13
CIN,16,10
CIN,17,17
SEA,1,20
SEA,2,7
SEA,3,12
SEA,4,19
SEA,5,12
SEA,6,23
SEA,7,13
SEA,8,28
SEA,9,20
SEA,10,7
SEA,12,24
SEA,13,17
SEA,14,0
SEA,15,17
SEA,16,13
SEA,17,13
CAR,1,16
CAR,2,27
CAR,3,36
CAR,4,30
CAR,5,16
CAR,7,19
CAR,8,23
CAR,9,13
CAR,10,36
CAR,11,27
CAR,12,22
CAR,13,27
CAR,14,20
CAR,15,7
CAR,16,6
CAR,17,38
JAC,1,26
JAC,2,27
JAC,3,17
JAC,4,27
JAC,5,41
JAC,7,26
JAC,8,24
JAC,9,31
JAC,10,27
JAC,11,43
JAC,12,19
JAC,13,34
JAC,14,17
JAC,15,24
JAC,16,23
JAC,17,38
BUF,1,48
BUF,2,17
BUF,3,314
BUF,4,52
BUF,5,45
BUF,6,16
BUF,7,35
BUF,9,21
BUF,10,37
BUF,11,14
BUF,12,20
BUF,13,18
BUF,14,15
BUF,15,50
BUF,16,24
BUF,17,9
HOU,1,10
HOU,2,7
HOU,3,25
HOU,4,14
HOU,5,17
HOU,6,42
HOU,7,13
HOU,9,9
HOU,10,6
HOU,11,37
HOU,12,31
HOU,13,10
HOU,14,42
HOU,15,17
HOU,16,23
HOU,17,28
ARI,1,16
ARI,2,18
ARI,3,6
ARI,4,21
ARI,5,17
ARI,6,19
ARI,7,21
ARI,8,24
ARI,9,31
ARI,11,23
ARI,12,31
ARI,13,7
ARI,14,58
ARI,15,10
ARI,16,28
ARI,17,27
STL,1,27
STL,2,28
STL,3,23
STL,4,13
STL,5,3
STL,6,17
STL,7,30
STL,8,45
STL,10,24
STL,11,27
STL,12,17
STL,13,13
STL,14,12
STL,15,36
STL,16,13
STL,17,20
DEN,1,19
DEN,2,27
DEN,3,31
DEN,4,6
DEN,5,31
DEN,6,24
DEN,8,14
DEN,9,23
DEN,10,14
DEN,11,23
DEN,12,9
DEN,13,23
DEN,14,13
DEN,15,17
DEN,16,12
DEN,17,3
