Tm,Wk,PA
DAL,3,7
DAL,4,30
DAL,5,51
DAL,6,16
DAL,7,3
DAL,8,30
DAL,9,23
DAL,10,49
DAL,12,21
DAL,13,24
DAL,14,45
DAL,15,37
DAL,16,23
DAL,17,24
ATL,1,23
ATL,2,24
ATL,3,27
ATL,4,30
ATL,5,30
ATL,7,23
ATL,8,27
ATL,9,34
ATL,10,33
ATL,11,41
ATL,12,17
ATL,13,31
ATL,14,21
ATL,15,26
ATL,16,34
ATL,17,21
KAN,1,2
KAN,2,16
KAN,3,16
KAN,4,7
KAN,5,17
KAN,6,7
KAN,7,16
KAN,8,17
KAN,9,13
KAN,11,27
KAN,12,41
KAN,13,35
KAN,14,10
KAN,15,31
KAN,16,23
KAN,17,27
MIA,1,10
MIA,2,20
MIA,3,23
MIA,4,38
MIA,5,26
MIA,7,23
MIA,8,27
MIA,9,20
MIA,10,22
MIA,11,16
MIA,12,20
MIA,13,23
MIA,14,28
MIA,15,20
MIA,16,19
MIA,17,20
TEN,1,9
TEN,2,30
TEN,3,17
TEN,4,13
TEN,5,26
TEN,6,20
TEN,7,31
TEN,9,21
TEN,10,29
TEN,11,30
TEN,12,19
TEN,13,22
TEN,14,51
TEN,15,37
TEN,16,20
TEN,17,10
SFO,1,28
SFO,2,29
SFO,3,27
SFO,4,11
SFO,5,3
SFO,6,20
SFO,7,17
SFO,8,10
SFO,10,10
SFO,11,23
SFO,12,6
SFO,13,13
SFO,14,17
SFO,15,14
SFO,16,24
SFO,17,20
MIN,1,34
MIN,2,31
MIN,3,31
MIN,4,27
MIN,6,35
MIN,7,23
MIN,8,44
MIN,9,27
MIN,10,27
MIN,11,41
MIN,12,26
MIN,13,20
MIN,14,29
MIN,15,30
MIN,16,42
MIN,17,13
DET,1,24
DET,2,25
DET,3,20
DET,4,32
DET,5,22
DET,6,17
DET,7,27
DET,8,30
DET,10,19
DET,11,37
DET,12,24
DET,13,10
DET,14,34
DET,15,18
DET,16,23
DET,17,14
CLE,1,23
CLE,2,14
CLE,3,27
CLE,4,6
CLE,5,24
CLE,6,31
CLE,7,31
CLE,8,23
CLE,9,18
CLE,11,41
CLE,12,27
CLE,13,32
CLE,14,27
CLE,15,38
CLE,16,24
CLE,17,20
OAK,1,21
OAK,2,9
OAK,3,37
OAK,4,24
OAK,5,17
OAK,6,24
OAK,8,18
OAK,9,20
OAK,10,20
OAK,11,23
OAK,12,23
OAK,13,31
OAK,14,37
OAK,15,56
OAK,16,26
OAK,17,34
WAS,1,33
WAS,2,38
WAS,3,27
WAS,4,14
WAS,6,31
WAS,7,41
WAS,8,45
WAS,9,24
WAS,10,34
WAS,11,24
WAS,12,27
WAS,13,24
WAS,14,45
WAS,15,27
WAS,16,24
WAS,17,20
IND,1,17
IND,2,24
IND,3,7
IND,4,3
IND,5,28
IND,6,9
IND,7,33
IND,9,24
IND,10,38
IND,11,27
IND,12,40
IND,13,14
IND,14,42
IND,15,3
IND,16,7
IND,17,10
CIN,1,24
CIN,2,10
CIN,3,30
CIN,4,17
CIN,5,6
CIN,6,24
CIN,7,24
CIN,8,9
CIN,9,22
CIN,10,20
CIN,11,20
CIN,13,10
CIN,14,28
CIN,15,30
CIN,16,14
CIN,17,17
SEA,1,7
SEA,2,3
SEA,3,17
SEA,4,20
SEA,5,34
SEA,6,13
SEA,7,22
SEA,8,9
SEA,9,24
SEA,10,10
SEA,11,20
SEA,13,7
SEA,14,19
SEA,15,23
SEA,16,17
SEA,17,9
CAR,1,12
CAR,2,24
CAR,3,12
CAR,5,24
CAR,6,0
CAR,7,22
CAR,8,10
CAR,9,15
CAR,10,9
CAR,11,20
CAR,12,16
CAR,13,6
CAR,14,31
CAR,15,20
CAR,16,13
CAR,17,20
JAC,1,28
JAC,2,19
JAC,3,45
JAC,4,37
JAC,5,34
JAC,6,35
JAC,7,24
JAC,8,42
JAC,10,27
JAC,11,27
JAC,12,6
JAC,13,28
JAC,14,20
JAC,15,27
JAC,16,20
JAC,17,30
BUF,1,23
BUF,2,23
BUF,3,27
BUF,4,20
BUF,5,37
BUF,6,27
BUF,7,21
BUF,8,35
BUF,9,23
BUF,10,23
BUF,11,14
BUF,13,34
BUF,14,27
BUF,15,20
BUF,16,0
BUF,17,34
HOU,1,28
HOU,2,24
HOU,3,30
HOU,4,23
HOU,5,34
HOU,6,38
HOU,7,17
HOU,9,27
HOU,10,27
HOU,11,28
HOU,12,13
HOU,13,34
HOU,14,27
HOU,15,25
HOU,16,37
HOU,17,16
ARI,1,27
ARI,2,21
ARI,3,31
ARI,4,10
ARI,5,6
ARI,6,32
ARI,7,34
ARI,8,13
ARI,10,24
ARI,11,14
ARI,12,11
ARI,13,24
ARI,14,10
ARI,15,34
ARI,16,10
ARI,17,23
STL,1,24
STL,2,31
STL,3,31
STL,4,35
STL,5,20
STL,6,13
STL,7,30
STL,8,14
STL,9,28
STL,10,8
STL,12,21
STL,13,23
STL,14,30
STL,15,16
STL,16,13
STL,17,9
DEN,1,27
DEN,2,23
DEN,3,21
DEN,4,20
DEN,5,48
DEN,6,19
DEN,7,21
DEN,8,21
DEN,10,20
DEN,11,17
DEN,12,31
DEN,13,28
DEN,14,28
DEN,15,27
DEN,16,12
DEN,17,14
