Tm,Wk,PA
PIT,1,9
PIT,2,10
PIT,3,23
PIT,4,27
PIT,6,6
PIT,7,16
PIT,8,18
PIT,9,31
PIT,10,10
PIT,11,27
PIT,12,11
PIT,13,20
PIT,14,28
PIT,15,20
PIT,16,31
PIT,17,7
GNB,1,34
GNB,2,20
GNB,3,34
GNB,5,9
GNB,6,17
GNB,7,13
GNB,8,31
GNB,9,20
GNB,10,13
GNB,11,13
GNB,12,26
GNB,13,40
GNB,14,22
GNB,15,36
GNB,16,38
GNB,17,28
BAL,1,49
BAL,2,6
BAL,3,9
BAL,4,23
BAL,5,23
BAL,6,19
BAL,7,19
BAL,9,24
BAL,10,17
BAL,11,23
BAL,12,3
BAL,13,20
BAL,14,26
BAL,15,16
BAL,16,7
BAL,17,17
PHI,1,27
PHI,2,33
PHI,3,26
PHI,4,52
PHI,5,21
PHI,6,20
PHI,7,17
PHI,8,15
PHI,9,20
PHI,10,13
PHI,11,16
PHI,13,21
PHI,14,20
PHI,15,30
PHI,16,11
PHI,17,22
NYJ,1,17
NYJ,2,10
NYJ,3,20
NYJ,4,13
NYJ,5,28
NYJ,6,19
NYJ,7,27
NYJ,8,49
NYJ,9,20
NYJ,11,37
NYJ,12,19
NYJ,13,23
NYJ,14,27
NYJ,15,30
NYJ,16,13
NYJ,17,7
NOR,1,17
NOR,2,14
NOR,3,7
NOR,4,17
NOR,5,18
NOR,6,30
NOR,8,17
NOR,9,26
NOR,10,17
NOR,11,20
NOR,12,13
NOR,13,34
NOR,14,13
NOR,15,27
NOR,16,17
NOR,17,17
CHI,1,21
CHI,2,30
CHI,3,23
CHI,4,40
CHI,5,26
CHI,6,21
CHI,7,45
CHI,9,20
CHI,10,21
CHI,11,20
CHI,12,21
CHI,13,20
CHI,14,28
CHI,15,31
CHI,16,54
CHI,17,33
NWE,1,21
NWE,2,10
NWE,3,3
NWE,4,23
NWE,5,13
NWE,6,27
NWE,7,30
NWE,8,17
NWE,9,31
NWE,11,24
NWE,12,31
NWE,13,31
NWE,14,26
NWE,15,24
NWE,16,7
NWE,17,20
NYG,1,36
NYG,2,41
NYG,3,38
NYG,4,31
NYG,5,36
NYG,6,27
NYG,7,7
NYG,8,7
NYG,10,20
NYG,11,13
NYG,12,21
NYG,13,17
NYG,14,37
NYG,15,23
NYG,16,20
NYG,17,6
TAM,1,18
TAM,2,16
TAM,3,23
TAM,4,13
TAM,6,31
TAM,7,31
TAM,8,31
TAM,9,27
TAM,10,19
TAM,11,28
TAM,12,21
TAM,13,6
TAM,14,6
TAM,15,33
TAM,16,23
TAM,17,42
SDG,1,31
SDG,2,30
SDG,3,20
SDG,4,21
SDG,5,27
SDG,6,9
SDG,7,6
SDG,9,24
SDG,10,20
SDG,11,16
SDG,12,38
SDG,13,10
SDG,14,14
SDG,15,20
SDG,16,13
SDG,17,24
DAL,1,31
DAL,2,17
