Rank,First,Last,Team,G,Rec,Tgt,Yds,YG,Avg,Lng,YAC,1stD,TD,Rush,Yds,YG,TD,Fum,FumL,RetTD
128,Jaron,Brown,ARI,16,11,18,140,8.8,12.7,32,3.4,6,1,0,0,0,0,0,0,0
129,Brittan,Golden,ARI,5,4,10,136,27.2,34,63,19.5,3,0,0,0,0,0,0,0,0
130,A.J.,Jenkins,KAN,16,8,17,130,8.1,16.3,48,5.8,4,0,0,0,0,0,0,0,0
131,Junior,Hemingway,KAN,16,13,19,125,7.8,9.6,24,2.4,6,2,0,0,0,0,2,1,0
132,Clyde,Gates,NYJ,6,12,24,122,20.3,10.2,34,2.5,5,0,0,0,0,0,0,0,0
133,Josh,Boyce,NWE,9,9,19,121,13.4,13.4,30,8.9,6,0,0,0,0,0,0,0,0
134,Brandon,Stokley,BAL,6,13,21,115,19.2,8.8,18,4.7,8,0,0,0,0,0,0,0,0
135,Chris,Owusu,TAM,9,13,20,114,12.7,8.8,20,2.8,5,0,0,0,0,0,0,0,0
136,Kyle,Williams,SFO,9,12,27,113,12.6,9.4,16,4.7,5,0,0,0,0,0,0,0,0
137,Travis,Benjamin,CLE,8,5,13,105,13.1,21,39,12.2,4,0,0,0,0,0,0,0,0
138,Brice,Butler,OAK,10,9,17,103,10.3,11.4,29,3,4,0,0,0,0,0,0,0,0
139,Jacoby,Ford,OAK,14,13,24,99,7.1,7.6,22,5.7,5,0,0,0,0,0,1,1,0
140,Deonte,Thompson,BAL,7,10,19,96,13.7,9.6,33,2.1,4,0,0,0,0,0,0,0,0
141,Kenny,Britt,STL,12,11,35,96,8,8.7,15,0.5,5,0,0,0,0,0,0,0,0
142,Ryan,Broyles,DET,6,8,14,85,14.2,10.6,22,4.5,4,0,0,0,0,0,0,0,0
143,Mario,Manningham,SFO,6,9,23,85,14.2,9.4,14,2.2,5,0,0,0,0,0,0,0,0
144,Chris,Hogan,BUF,16,10,17,83,5.2,8.3,16,3,4,0,0,0,0,0,0,0,0
145,Ricardo,Lockette,SEA,8,5,7,82,10.3,16.4,33,3.2,3,0,0,0,0,0,0,0,0
146,Dwayne,Harris,DAL,13,9,14,80,6.2,8.9,24,4.1,5,2,0,0,0,0,0,0,1
147,Stephen,Burton,JAC,4,8,13,76,19,9.5,22,4.6,4,0,0,0,0,0,0,0,0
148,Eric,Page,TAM,16,4,9,68,4.3,17,30,3.8,3,0,0,0,0,0,0,0,0
149,Nick,Toon,NOR,8,4,12,68,8.5,17,35,2.5,2,0,0,0,0,0,0,0,0
150,Jeremy,Ross,DET,10,6,12,67,5.2,11.2,19,4,6,1,0,0,0,0,0,0,1
151,Jeff,Maehl,PHI,16,4,9,67,4.2,16.8,37,8.8,3,1,0,0,0,0,0,0,0
152,Myles,White,GNB,7,9,12,66,9.4,7.3,15,6,1,0,0,0,0,0,0,0,0
153,Markus,Wheaton,PIT,12,6,13,64,5.3,10.7,21,6.8,5,0,0,0,0,0,0,0,0
154,Seyi,Ajirotutu,SDG,14,3,4,64,4.6,21.3,26,3.3,3,1,0,0,0,0,0,0,0
155,Austin,Collie,NWE,7,6,11,63,9,10.5,19,1.8,6,0,0,0,0,0,0,0,0
156,Marlon,Moore,MIA,8,7,15,62,4.4,8.9,13,1.9,4,0,0,0,0,0,0,0,0
157,Dane,Sanzenbacher,CIN,10,6,8,61,6.1,10.2,23,5.2,3,0,0,0,0,0,0,0,0
158,Josh,Cooper,CLE,5,9,14,60,12,6.7,16,2.9,5,0,0,0,0,0,0,0,0
159,Domenik,Hixon,CAR,15,7,9,55,3.7,7.9,14,1.3,2,1,0,0,0,0,0,0,0
160,Patrick,Edwards,DET,4,5,11,46,11.5,9.2,11,5.2,2,0,0,0,0,0,0,0,0
161,Louis,Murphy,NYG,14,6,13,37,2.6,6.2,8,1,2,0,0,0,0,0,1,1,0
162,Michael,Preston,TEN,7,5,7,37,5.3,7.4,10,0.4,2,2,0,0,0,0,0,0,0
163,Lestar,Jean,HOU,13,4,8,35,2.7,8.8,11,2,3,0,0,0,0,0,0,0,0
164,Quinton,Patton,SFO,6,3,5,34,5.7,11.3,29,2.7,1,0,0,0,0,0,0,0,0
165,Juron,Criner,OAK,1,3,8,32,32,10.7,20,4.3,2,0,0,0,0,0,0,0,0
166,Lamaar,Thomas,JAC,2,2,3,31,15.5,15.5,18,8,2,0,0,0,0,0,0,0,0
