Wk,Tm
4,ARI
9,ATL
11,BAL
9,BUF
12,CAR
9,CHI
4,CIN
4,CLE
11,DAL
4,DEN
9,DET
9,GNB
10,HOU
10,IND
11,JAC
6,KAN
10,MIN
5,MIA
8,NYG
10,NWE
11,NYJ
6,NOR
5,OAK
12,PIT
7,PHI
12,SEA
10,SDG
8,SFO
4,STL
7,TAM
9,TEN
10,WAS
