Rank,First,Last,Team,G,Rush,Yds,Y/G,Avg,TD,Rec,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Fum,FumL
108,Kevin,Faulk,NWE,7,17,57,8.1,3.4,0,7,34,4.9,4.9,18,4.9,2,0,0,0
109,Mossis,Madu,TAM,9,15,55,6.1,3.7,0,10,72,8,7.2,15,3.3,1,0,0,0
110,Ronnie,Hillman,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Lorenzo,Booker,MIN,15,13,52,3.5,4,0,8,82,5.5,10.3,15,11.3,3,0,2,1
112,Le'Ron,McClain,KAN,16,15,51,3.2,3.4,1,14,82,5.1,5.9,14,5.2,6,1,0,0
113,Armando,Allen,CHI,2,15,48,24,3.2,0,0,0,0,0,0,0,0,0,0,0
114,Rock,Cartwright,OAK,15,4,45,3,11.3,0,4,24,1.6,6,9,7,1,0,0,0
115,John,Conner,NYJ,16,13,44,2.8,3.4,1,2,9,0.6,4.5,9,2.5,1,0,0,0
116,Spencer,Larsen,DEN,16,14,44,2.8,3.1,0,9,76,4.8,8.4,16,5.8,4,0,0,0
117,Jamie,Harper,TEN,13,17,44,3.4,2.6,1,4,32,2.5,8,21,9.8,1,0,1,1
118,DuJuan,Harris,JAC,5,9,42,8.4,4.7,0,1,4,0.8,4,4,7,0,0,0,0
119,John,Clay,PIT,2,10,41,20.5,4.1,1,0,0,0,0,0,0,0,0,0,0
120,Lex,Hilliard,MIA,16,16,41,2.6,2.6,1,5,49,3.1,9.8,18,8.2,2,0,0,0
121,Jerome,Harrison,DET,4,14,41,10.3,2.9,0,1,3,0.8,3,3,1,0,0,0,0
122,Montell,Owens,JAC,13,10,39,3,3.9,0,2,2,0.2,1,6,4,0,0,0,0
123,Johnny,White,BUF,12,12,38,3.2,3.2,0,1,-3,-0.3,-3,-3,0,0,0,0,0
124,Vonta,Leach,BAL,16,12,35,2.2,2.9,0,15,69,4.3,4.6,11,5,3,0,0,0
125,Darrel,Young,WAS,13,6,33,2.5,5.5,1,14,138,10.6,9.9,27,7.9,6,0,0,0
126,Ahmard,Hall,TEN,12,6,24,2,4,0,9,46,3.8,5.1,10,6.1,1,0,1,1
