Rank,First,Last,Team,G,Rec,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Rush,Yds,Y/G,Avg,TD,Fum,FumL,RetTD
60,Brian,Hartline,MIA,16,35,549,34.3,15.7,41,2.9,30,1,0,0,0,0,0,0,0,0
61,Davone,Bess,MIA,16,51,537,33.6,10.5,41,4.5,25,3,0,0,0,0,0,2,2,0
62,Mario,Manningham,NYG,12,39,523,43.6,13.4,47,2.9,25,4,0,0,0,0,0,0,0,0
63,Joshua,Cribbs,CLE,16,41,518,32.4,12.6,45,5.4,27,4,0,25,0,0,1,0,0,1
64,Austin,Collie,IND,16,54,514,32.1,9.5,27,4.1,35,1,0,0,0,0,0,0,0,0
65,Jacoby,Jones,HOU,16,31,512,32,16.5,80,4.9,23,2,0,17,0,0,1,0,0,1
66,Roy,Williams,CHI,15,37,507,33.8,13.7,25,3.1,29,2,0,0,0,0,0,0,0,0
67,Devery,Henderson,NOR,16,32,503,31.4,15.7,79,5.3,22,2,0,0,0,0,0,1,0,0
68,Harry,Douglas,ATL,16,39,498,31.1,12.8,49,6.4,20,1,0,0,0,0,0,0,0,0
69,Andre,Johnson,HOU,7,33,492,70.3,14.9,50,4.1,23,2,0,0,0,0,0,0,0,0
70,Sidney,Rice,SEA,9,32,484,53.8,15.1,52,4.3,19,2,0,0,0,0,0,1,0,0
71,Kevin,Walter,HOU,15,39,474,31.6,12.2,41,3.6,26,3,0,0,0,0,0,0,0,0
72,Lavelle,Hawkins,TEN,16,47,470,29.4,10,32,4.4,23,1,0,0,0,0,0,1,0,0
73,Devin,Aromashodu,MIN,16,26,468,29.3,18,60,5.3,21,1,0,0,0,0,0,1,0,0
74,Legedu,Naanee,CAR,15,44,467,31.1,10.6,28,4,20,1,0,0,0,0,0,0,0,0
75,Michael,Jenkins,MIN,11,38,466,42.4,12.3,72,3.1,23,3,0,0,0,0,0,2,2,0
76,Donald,Driver,GNB,16,37,445,27.8,12,35,3.9,20,6,0,0,0,0,0,0,0,0
77,Arrelious,Benn,TAM,14,30,441,31.5,14.7,65,6.9,15,3,0,0,0,0,0,0,0,0
78,Ben,Obomanu,SEA,16,37,436,27.3,11.8,55,3.5,16,2,0,0,0,0,0,0,0,0
79,Danario,Alexander,STL,10,26,431,43.1,16.6,68,5.5,19,2,0,0,0,0,0,0,0,0
80,Brandon,Gibson,STL,15,36,431,28.7,12,34,3.2,28,1,0,0,0,0,0,0,0,0
81,Mike,Thomas,JAC,15,44,415,27.7,9.4,47,4.4,20,1,0,0,0,0,0,1,0,0
82,Dezmon,Briscoe,TAM,16,35,387,24.2,11.1,46,3,20,6,0,0,0,0,0,0,0,0
83,Mohamed,Massaquoi,CLE,14,31,384,27.4,12.4,56,2.5,19,2,0,0,0,0,0,0,0,0
84,Golden,Tate,SEA,16,35,382,23.9,10.9,33,4.6,16,3,0,0,0,0,0,1,0,0
85,Hines,Ward,PIT,15,46,381,25.4,8.3,31,4.2,20,2,0,0,0,0,0,1,1,0
86,Earl,Bennett,CHI,11,24,381,34.6,15.9,49,5.7,14,1,0,0,0,0,0,1,1,0
87,Randall,Cobb,GNB,15,25,375,25,15,61,7.8,15,1,0,0,0,0,1,0,0,2
88,Devin,Hester,CHI,16,26,369,23.1,14.2,53,6.5,15,1,0,0,0,0,2,1,0,3
89,Jason,Hill,JAC,10,25,367,36.7,14.7,74,5,17,3,0,0,0,0,0,0,0,0
90,Vincent,Brown,SDG,14,19,329,23.5,17.3,31,4.2,17,2,0,0,0,0,0,0,0,0
91,Andre,Caldwell,CIN,13,37,317,24.4,8.6,49,3,15,3,0,0,0,0,0,0,0,0
92,Riley,Cooper,PHI,16,16,315,19.7,19.7,58,3.8,13,1,0,0,0,0,0,0,0,0
93,Justin,Blackmon,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Jeremy,Kerley,NYJ,14,29,314,22.4,10.8,38,3.8,19,1,0,0,0,0,0,0,0,0
95,Donte',Stallworth,WAS,11,22,309,28.1,14,51,5.2,15,2,0,0,0,0,0,0,0,0
