Wk,Tm
5,MIA
5,WAS
5,BAL
5,CLE
5,DAL
5,STL
6,ARI
6,DEN
6,SEA
6,SDG
6,KAN
6,TEN
7,PHI
7,CIN
7,BUF
7,SFO
7,NYG
7,NWE
8,TAM
8,NYJ
8,ATL
8,OAK
8,GNB
8,CHI
9,CAR
9,MIN
9,DET
9,JAX
11,PIT
11,IND
11,NOR
11,HOU
